"","carat","cut","color","clarity","depth","table","price","x","y","z"
"295",2.01,"Premium","G","SI1",61.8,59,15105,8.15,8.09,5.02
"296",2.05,"Premium","J","VS1",62.5,60,15109,8.14,8.09,5.07
"297",2.13,"Premium","J","VS2",59.6,59,15110,8.43,8.37,5.01
"298",2.01,"Premium","F","SI1",63,59,15134,7.99,7.89,5
"299",2.01,"Premium","G","SI2",62.3,60,15147,8.04,7.97,4.99
"300",2.19,"Premium","I","SI2",60.8,60,15169,8.38,8.34,5.08
"301",2.19,"Premium","I","SI2",62.5,58,15169,8.31,8.26,5.18
"302",2.1,"Premium","G","SI2",62.6,56,15175,8.2,8.16,5.12
"303",2.22,"Premium","I","SI2",62.9,59,15184,8.24,8.2,5.17
"304",2.01,"Premium","J","VS1",60.1,59,15185,8.25,8.18,4.94
"305",2.2,"Premium","J","VS1",61.7,59,15201,8.34,8.3,5.13
"306",2,"Premium","J","VVS2",63,59,15214,8,7.97,5.03
"307",2.04,"Premium","G","SI1",60.7,62,15217,8.3,8.15,4.96
"308",4.01,"Premium","I","I1",61,61,15223,10.14,10.1,6.17
"309",4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24
"310",2.12,"Premium","I","SI2",60.6,59,15235,8.3,8.27,5.02
"311",2.2,"Premium","I","SI2",63,59,15238,8.22,8.19,5.17
"312",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"313",2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"314",2.41,"Premium","J","VS1",61.1,60,15320,8.66,8.6,5.27
"315",2.08,"Premium","I","SI2",61.2,58,15321,8.24,8.16,5.02
"316",2.03,"Premium","G","SI1",61.9,59,15322,8.14,8.09,5.02
"317",2.31,"Premium","J","SI1",61.1,60,15323,8.58,8.51,5.22
"318",2.09,"Premium","I","SI1",60.8,59,15339,8.28,8.24,5.02
"319",2.29,"Premium","G","SI2",62.4,60,15366,8.41,8.36,5.23
"320",2.24,"Premium","I","SI2",61.9,58,15375,8.29,8.36,5.15
"321",2.01,"Premium","I","VS2",62.1,59,15379,7.98,8.06,4.98
"322",2.07,"Premium","I","SI1",59.4,61,15392,8.35,8.31,4.95
"323",2.06,"Premium","I","VS1",58.4,55,15393,8.42,8.35,4.9
"324",2.25,"Premium","I","SI1",61.3,58,15397,8.52,8.42,0
"325",2.04,"Premium","E","SI2",62.7,60,15398,8.04,8,5.03
"326",2.14,"Premium","I","VS2",59.3,59,15418,8.39,8.43,5
"327",2.18,"Premium","J","VS2",60.1,58,15465,8.46,8.41,5.07
"328",2.01,"Premium","I","VS1",61.5,62,15475,8.07,7.94,4.92
"329",2,"Premium","G","SI2",60.1,62,15485,8.07,8,4.83
"330",2.06,"Premium","I","SI1",60.8,60,15494,8.25,8.16,4.99
"331",2.02,"Premium","G","SI2",61,58,15498,8.15,8.22,4.99
"332",2.14,"Premium","I","SI1",59.5,59,15499,8.42,8.36,4.99
"333",2.24,"Premium","I","SI2",61.9,58,15515,8.36,8.29,5.15
"334",2.06,"Premium","I","SI1",61,58,15517,8.24,8.19,5.01
"335",2.01,"Premium","I","VS2",62.1,59,15520,8.06,7.98,4.98
"336",2.01,"Premium","I","SI1",62.4,61,15528,8.01,7.99,4.99
"337",2.01,"Premium","I","SI1",60.9,60,15528,8.1,8.06,4.92
"338",2.04,"Premium","I","SI2",60.2,59,15543,8.28,8.22,4.97
"339",2.14,"Premium","I","VS2",59.3,59,15559,8.43,8.39,5
"340",2.01,"Premium","G","SI2",59.4,58,15562,8.19,8.15,4.85
"341",2.1,"Premium","I","SI1",59.9,61,15615,8.34,8.26,4.97
"342",2.04,"Premium","G","SI2",60.3,59,15651,8.23,8.3,4.98
"343",2,"Premium","I","VS2",59.5,62,15651,8.21,8.13,4.86
"344",2.08,"Premium","I","VVS1",62.2,58,15654,8.22,8.18,5.1
"345",2.03,"Premium","I","SI1",61.4,58,15683,8.13,8.09,4.98
"346",2.01,"Premium","I","SI1",62.4,61,15707,8.01,7.99,4.99
"347",2.06,"Premium","I","SI1",60.8,60,15716,8.25,8.16,4.99
"348",2.15,"Premium","G","SI2",58.9,58,15751,8.46,8.41,4.97
"349",2.11,"Premium","G","SI2",59.1,59,15757,8.33,8.4,4.94
"350",2.02,"Premium","I","VS2",62.9,59,15808,8.03,7.93,5.02
"351",2.34,"Premium","I","SI1",61.7,60,15818,8.59,8.53,5.28
"352",2.1,"Premium","I","SI1",61.5,59,15818,8.28,8.24,5.08
"353",2.01,"Premium","J","VVS1",62.2,58,15836,8.1,7.89,5
"354",2.05,"Premium","I","SI1",61.2,57,15837,8.24,8.21,5.03
"355",2.01,"Premium","F","SI2",59.5,59,15841,8.24,8.15,4.88
"356",2.08,"Premium","E","SI2",62.3,59,15873,8.22,8.16,5.1
"357",2.05,"Premium","I","VS2",62.5,59,15897,8.07,8.12,5.06
"358",2,"Premium","G","SI2",62.1,59,15897,8.12,8.02,5.01
"359",2.2,"Premium","G","SI2",60.4,60,15897,8.44,8.36,5.08
"360",2.14,"Premium","I","SI1",61.3,61,15913,8.32,8.28,5.09
"361",2.14,"Premium","I","SI2",60.1,58,15915,8.41,8.37,5.04
"362",2.4,"Premium","J","SI1",59.7,58,15920,8.75,8.71,5.21
"363",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"364",2.01,"Premium","I","VS2",60.3,62,15939,8.13,8.08,4.89
"365",2.06,"Premium","G","SI2",59.8,61,15949,8.26,8.22,4.93
"366",2.21,"Premium","G","SI2",60.7,62,15970,8.48,8.42,5.13
"367",2.01,"Premium","G","SI2",59.8,58,15977,8.21,8.15,4.89
"368",2,"Premium","E","SI2",58.1,60,15984,8.32,8.25,4.81
"369",2.07,"Premium","I","SI1",62.3,60,15992,8.16,8.12,5.07
"370",2.25,"Premium","J","SI1",61.8,61,16004,8.46,8.39,5.21
"371",2.23,"Premium","J","VS1",61.7,58,16025,8.41,8.34,5.17
"372",2.01,"Premium","E","SI2",58.7,54,16064,8.27,8.2,4.83
"373",2,"Premium","I","VS2",58.6,62,16068,8.2,8.17,4.8
"374",2.24,"Premium","I","SI2",62.5,59,16097,8.36,8.28,5.2
"375",2.31,"Premium","J","VVS1",62.1,58,16100,8.49,8.42,5.25
"376",2.1,"Premium","G","SI2",60.9,57.4,16112,8.17,8.27,5
"377",2.01,"Premium","I","VS2",61.6,61,16149,8.08,7.97,4.94
"378",2.28,"Premium","J","VS1",60.3,58,16174,8.58,8.53,5.16
"379",2.2,"Premium","I","SI2",62.4,55,16190,8.41,8.34,5.23
"380",2.02,"Premium","I","SI1",62.5,59,16191,8.05,8.01,5.02
"381",3.67,"Premium","I","I1",62.4,56,16193,9.86,9.81,6.13
"382",2.42,"Premium","J","SI2",62.3,58,16198,8.63,8.55,5.35
"383",2.42,"Premium","J","SI2",58.5,59,16198,8.85,8.82,5.17
"384",2.42,"Premium","J","SI2",62.4,58,16198,8.58,8.53,5.34
"385",2.32,"Premium","F","SI2",62.5,59,16237,8.51,8.44,5.3
"386",2.26,"Premium","I","SI2",62,58,16241,8.4,8.37,5.2
"387",2.01,"Premium","G","SI1",62.3,61,16242,7.96,7.89,5.02
"388",2,"Premium","G","SI2",61.8,58,16262,8.05,7.99,4.96
"389",2.38,"Premium","J","VS2",62.6,59,16273,8.52,8.49,5.32
"390",2.51,"Premium","J","SI2",59.3,58,16278,8.83,8.87,5.25
"391",2.4,"Premium","J","SI1",59.7,58,16304,8.75,8.71,5.21
"392",2.03,"Premium","I","VS2",60.5,62,16309,8.22,8.17,4.96
"393",2.03,"Premium","I","VS2",58.5,60,16309,8.37,8.34,4.89
"394",2.65,"Premium","G","SI2",62,61,16314,8.82,8.75,5.45
"395",2.02,"Premium","G","SI1",62.3,61,16323,8.07,7.96,4.99
"396",2.11,"Premium","G","SI2",62.2,60,16336,8.19,8.15,5.08
"397",2.1,"Premium","F","SI2",62.1,59,16357,8.16,8.18,5.07
"398",2.05,"Premium","G","SI2",60.1,59,16357,8.2,8.3,4.96
"399",2.02,"Premium","I","SI1",60.9,60,16368,8.13,8.1,4.94
"400",2.28,"Premium","J","VS2",62.4,58,16369,8.45,8.35,5.24
"401",2.07,"Premium","I","SI1",62.9,59,16392,8.15,8.09,5.11
"402",2.04,"Premium","G","SI2",61.8,56,16426,8.13,8.05,5
"403",2.51,"Premium","J","SI2",59.3,58,16427,8.87,8.83,5.25
"404",2.06,"Premium","G","SI2",61.8,58,16437,8.1,8.15,5.02
"405",2.03,"Premium","I","VS2",60.5,62,16483,8.22,8.17,4.96
"406",2.01,"Premium","I","SI1",61.5,60,16499,8.12,8.01,4.96
"407",2.05,"Premium","G","SI2",60.1,59,16506,8.3,8.2,4.96
"408",2.47,"Premium","J","SI2",59.4,59,16532,8.85,8.79,5.24
"409",2,"Premium","I","VS2",60.7,60,16544,8.02,8.07,4.88
"410",2.28,"Premium","J","VS2",62.9,58,16564,8.42,8.34,5.27
"411",2.06,"Premium","G","SI2",61.8,58,16587,8.15,8.1,5.02
"412",2.05,"Premium","I","SI1",60.6,58,16611,8.22,8.13,4.95
"413",2.01,"Premium","I","VS2",60.5,60,16626,8.15,8.17,4.94
"414",2.03,"Premium","E","SI1",62.9,57,16629,8.04,7.98,5.04
"415",2.21,"Premium","F","SI2",59.6,60,16657,8.53,8.49,5.07
"416",2,"Premium","I","VS2",60.7,60,16694,8.07,8.02,4.88
"417",2.01,"Premium","I","VS2",61.7,60,16700,8.09,8.02,4.97
"418",2.02,"Premium","I","VS2",59.6,60,16709,8.2,8.25,4.9
"419",2.48,"Premium","I","SI1",61,60,16715,8.68,8.61,5.27
"420",2.01,"Premium","G","SI2",59,60,16733,8.31,8.26,4.89
"421",2.04,"Premium","I","VS2",61,61,16768,8.14,8.08,4.95
"422",2.13,"Premium","G","SI2",60.7,60,16778,8.27,8.37,5.05
"423",2.01,"Premium","I","VS2",62.8,58,16778,8.01,7.94,5.01
"424",2.01,"Premium","I","VS2",62.7,58,16778,7.98,7.94,4.99
"425",2.01,"Premium","I","VS2",59.2,62,16778,8.17,8.14,4.83
"426",2.01,"Premium","I","VS2",62.6,59,16778,8.04,8.01,5.02
"427",2.01,"Premium","I","VS2",61,61,16778,8.15,7.99,4.92
"428",2.01,"Premium","I","VS2",60.5,60,16778,8.17,8.15,4.94
"429",2.1,"Premium","E","SI2",62.9,59,16783,8.18,8.13,5.13
"430",2.03,"Premium","I","SI1",61.2,58,16787,8.21,8.16,5.01
"431",2.4,"Premium","F","SI2",62.6,59,16797,8.53,8.49,5.33
"432",2.21,"Premium","F","SI1",62.1,59,16804,8.33,8.26,5.15
"433",2.23,"Premium","G","SI2",61.4,58,16805,8.41,8.32,5.14
"434",2.48,"Premium","I","VS2",60.1,58,16820,8.83,8.76,5.29
"435",2.08,"Premium","G","VS2",61.3,58,16854,8.21,8.17,5.02
"436",2.06,"Premium","F","SI2",61.7,59,16857,8.21,8.13,5.04
"437",2.02,"Premium","I","VS2",59.6,60,16861,8.25,8.2,4.9
"438",2.01,"Premium","F","SI2",60.3,60,16881,8.11,8.08,4.88
"439",2.01,"Premium","F","SI2",61.3,61,16881,8.11,8.01,4.94
"440",2.05,"Premium","I","VS2",60.8,58,16896,8.26,8.19,5
"441",2.02,"Premium","G","SI2",61.3,56,16929,8.22,8.16,5.02
"442",2.13,"Premium","G","SI2",60.7,60,16931,8.37,8.27,5.05
"443",2.53,"Premium","J","SI2",62.6,57,16934,8.77,8.67,5.46
"444",2.04,"Premium","I","SI1",62.2,57,16942,8.14,8.07,5.04
"445",2.02,"Premium","G","SI2",60.1,59,16944,8.21,8.29,4.96
"446",2.07,"Premium","E","SI1",61.2,58,16957,8.24,8.19,5.03
"447",3,"Premium","I","SI2",60.7,59,16970,9.3,9.14,5.6
"448",2.27,"Premium","J","VS1",62.4,58,16994,8.36,8.41,5.23
"449",2.31,"Premium","I","SI2",58.8,58,17000,8.7,8.64,5.1
"450",2.06,"Premium","G","SI2",61.7,58,17012,8.2,8.15,5.04
"451",2.01,"Premium","G","SI2",59.9,62,17014,8.15,8.04,4.85
"452",2.04,"Premium","I","VS2",62.5,58,17028,8.22,8.09,5.1
"453",2.14,"Premium","I","VS2",60.7,59,17038,8.28,8.33,5.04
"454",2.13,"Premium","F","SI2",61.5,58,17045,8.28,8.33,5.11
"455",2.32,"Premium","J","VS2",62.4,57,17053,8.48,8.4,5.27
"456",2.01,"Premium","G","VS2",60.6,59,17057,8.16,8.12,4.93
"457",2.05,"Premium","E","SI2",58.6,59,17066,8.43,8.36,4.92
"458",2.01,"Premium","I","VS1",62.9,62,17068,8.02,7.98,5.03
"459",2.05,"Premium","E","SI2",59.7,59,17081,8.27,8.39,4.97
"460",2.02,"Premium","G","SI2",60.1,59,17099,8.29,8.21,4.96
"461",2.57,"Premium","E","SI2",61.3,60,17116,8.82,8.73,5.38
"462",2,"Premium","G","SI2",60.4,61,17136,8.21,8.12,4.93
"463",2.71,"Premium","E","SI2",60.4,59,17146,9.13,9.03,5.48
"464",2.27,"Premium","J","VS1",62.4,58,17149,8.41,8.36,5.23
"465",2.02,"Premium","I","VS1",61.2,59,17153,8.13,8.05,4.95
"466",2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
"467",2.42,"Premium","J","VS2",61.3,59,17168,8.61,8.58,5.27
"468",2,"Premium","F","SI1",58.8,61,17172,8.29,8.23,4.86
"469",2.01,"Premium","E","SI2",58.9,60,17179,8.24,8.2,4.84
"470",2.01,"Premium","E","SI2",62,61,17179,8.1,8.04,5
"471",2.56,"Premium","J","SI1",61.4,58,17186,8.76,8.73,5.37
"472",2.14,"Premium","I","VS2",60.7,59,17193,8.33,8.28,5.04
"473",2.6,"Premium","J","SI2",58.3,61,17209,9.05,8.94,5.24
"474",2.31,"Premium","I","SI2",62.9,58,17218,8.43,8.34,5.27
"475",2.05,"Premium","E","SI2",59.7,59,17237,8.39,8.27,4.97
"476",2.12,"Premium","I","VS2",61.5,58,17254,8.3,8.26,5.09
"477",2.42,"Premium","I","VS1",59.8,59,17262,8.8,8.78,5.26
"478",2,"Premium","I","VS1",61.1,58,17278,8.08,8.11,4.95
"479",2.05,"Premium","E","SI2",62.5,56,17294,8.17,8.08,5.08
"480",2.35,"Premium","I","SI2",59.9,58,17294,8.68,8.61,5.18
"481",2.35,"Premium","I","SI2",61.1,58,17294,8.63,8.56,5.25
"482",2.16,"Premium","I","SI1",62.9,55,17313,8.28,8.2,5.18
"483",2.01,"Premium","G","SI1",62.5,58,17334,7.98,8.08,5.02
"484",2.04,"Premium","E","SI2",58.3,58,17379,8.35,8.31,4.86
"485",2.03,"Premium","G","SI2",60.1,60,17393,8.27,8.2,4.95
"486",2.01,"Premium","G","SI2",60.1,60,17403,8.25,8.18,4.94
"487",2.14,"Premium","I","VS2",62.3,58,17416,8.22,8.16,5.1
"488",2.01,"Premium","I","VS2",61.1,60,17433,8.06,8.12,4.94
"489",2,"Premium","I","VS1",61.1,58,17436,8.11,8.08,4.95
"490",2.31,"Premium","J","VS1",62.3,61,17451,8.55,8.43,5.29
"491",2.51,"Premium","J","SI1",59.6,60,17452,8.84,8.79,5.25
"492",2.01,"Premium","I","SI1",60.2,59,17474,8.18,8.12,4.91
"493",2.14,"Premium","G","SI2",60.4,59,17513,8.32,8.38,5.04
"494",2.21,"Premium","G","SI2",62.4,60,17525,8.34,8.29,5.19
"495",2,"Premium","I","VS2",62.5,57,17574,8.01,7.92,4.98
"496",2.02,"Premium","G","SI1",61.8,58,17579,8.16,8.1,4.94
"497",2.01,"Premium","I","VS2",61.1,60,17592,8.12,8.06,4.94
"498",2.1,"Premium","J","VVS1",61.3,58,17606,8.29,8.24,5.07
"499",2.48,"Premium","I","SI2",63,62,17607,8.62,8.58,5.42
"500",2.05,"Premium","I","VS1",60.6,60,17640,8.21,8.18,4.97
"501",2.39,"Premium","I","VS1",61.2,60,17642,8.63,8.6,5.27
"502",2.06,"Premium","G","SI2",62.7,58,17650,8.12,8.09,5.08
"503",2.28,"Premium","I","SI1",61.6,58,17673,8.43,8.46,5.2
"504",2.14,"Premium","G","SI2",60.4,59,17673,8.38,8.32,5.04
"505",2.02,"Premium","G","SI1",62.8,60,17692,8.02,7.96,5.02
"506",2.21,"Premium","I","SI1",61.1,59,17714,8.42,8.37,5.13
"507",2,"Premium","I","VS2",61.8,56,17716,8.11,8.04,4.99
"508",2.14,"Premium","F","SI2",58.2,61,17742,8.5,8.45,4.93
"509",2.01,"Premium","F","SI2",61.3,61,17746,8.02,7.96,4.9
"510",2,"Premium","E","SI2",62.2,56,17760,8.14,8.06,5.04
"511",2.03,"Premium","F","SI1",61.3,59,17803,8.15,8.22,5.02
"512",2.11,"Premium","G","SI1",61.6,59,17816,8.24,8.19,5.06
"513",2.02,"Premium","E","SI2",59.8,58,17825,8.2,8.16,4.89
"514",2.01,"Premium","I","VS2",60.3,58,17826,8.22,8.16,4.94
"515",2.09,"Premium","F","SI2",61.7,59,17840,8.21,8.23,5.07
"516",2.18,"Premium","G","SI2",61.9,60,17841,8.24,8.29,5.12
"517",2.16,"Premium","J","VVS1",61.5,58,17891,8.36,8.26,5.11
"518",2.02,"Premium","I","VS2",59,59,17893,8.34,8.27,4.9
"519",2.2,"Premium","I","VS2",58.9,60,17905,8.63,8.52,5.05
"520",2.16,"Premium","I","SI1",58.5,60,17934,8.54,8.49,4.98
"521",2.02,"Premium","E","SI2",58.2,60,17938,8.32,8.25,4.82
"522",2.01,"Premium","G","VS2",61.4,58,17987,8.11,7.99,4.94
"523",2.05,"Premium","G","SI2",58.7,60,17988,8.4,8.32,4.91
"524",2.09,"Premium","F","SI2",61.7,59,18002,8.23,8.21,5.07
"525",2.18,"Premium","G","SI2",61.9,60,18003,8.29,8.24,5.12
"526",2.51,"Premium","J","VS2",62.2,58,18020,8.73,8.67,5.41
"527",2.32,"Premium","I","SI1",61.2,58,18026,8.57,8.52,5.23
"528",2.11,"Premium","E","SI2",62.4,61,18034,8.19,8.1,5.08
"529",2.25,"Premium","I","SI1",60.1,60,18034,8.55,8.51,5.13
"530",2.04,"Premium","F","SI2",60.2,58,18066,8.17,8.24,4.94
"531",2.01,"Premium","G","SI1",61.8,60,18077,7.99,8.04,4.95
"532",2.02,"Premium","E","SI2",61,59,18117,8.18,8.12,4.97
"533",2.12,"Premium","E","SI2",58.3,59,18120,8.48,8.41,4.92
"534",2.23,"Premium","I","VS2",61.2,58,18149,8.43,8.36,5.14
"535",2.12,"Premium","G","SI2",62.6,59,18164,8.18,8.12,5.1
"536",2.03,"Premium","G","VS2",60.9,59,18166,8.17,8.14,4.97
"537",2.52,"Premium","F","SI2",60.6,60,18179,8.78,8.7,5.3
"538",2.07,"Premium","I","VS2",61.2,58,18193,8.18,8.2,5.01
"539",2.2,"Premium","G","SI1",60.5,55,18193,8.49,8.42,5.11
"540",2.01,"Premium","I","VS1",62.9,59,18206,8.03,7.94,5.02
"541",2.04,"Premium","F","SI2",60.2,58,18231,8.24,8.17,4.94
"542",2.19,"Premium","E","SI2",62.4,61,18232,8.31,8.23,5.16
"543",2.3,"Premium","I","VS2",61.8,60,18239,8.47,8.39,5.21
"544",3.01,"Premium","I","SI2",60.2,59,18242,9.36,9.31,5.62
"545",2.52,"Premium","I","SI1",58.5,59,18252,8.9,8.87,5.2
"546",2.51,"Premium","I","SI2",62.3,57,18255,8.76,8.69,5.44
"547",2.02,"Premium","F","SI2",61.3,59,18274,8.15,8.11,4.98
"548",2.14,"Premium","E","SI2",61.5,58,18291,8.31,8.24,5.09
"549",2.03,"Premium","E","SI2",61.5,59,18310,8.16,8.24,5.04
"550",2.02,"Premium","F","SI2",61.7,58,18320,8.11,8.15,5.02
"551",2.49,"Premium","I","SI2",61.2,56,18325,8.76,8.7,5.34
"552",2.07,"Premium","I","VS2",61.2,58,18359,8.2,8.18,5.01
"553",2.2,"Premium","I","VS2",62,57,18364,8.38,8.34,5.18
"554",2.03,"Premium","G","SI1",61.3,59,18423,8.11,8.08,4.96
"555",2.29,"Premium","J","IF",61.4,60,18426,8.45,8.49,5.2
"556",2,"Premium","E","SI2",61.8,56,18426,8.12,8.05,5
"557",2.22,"Premium","I","SI1",59.9,59,18432,8.46,8.41,5.05
"558",2.06,"Premium","G","SI1",61.5,58,18439,8.2,8.15,5.03
"559",2.5,"Premium","I","SI2",59,60,18447,8.76,8.89,5.21
"560",2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
"561",2.03,"Premium","E","SI2",61.5,59,18477,8.24,8.16,5.04
"562",2.16,"Premium","I","VS2",58.7,60,18481,8.54,8.5,5
"563",2.57,"Premium","J","SI1",63,58,18485,8.77,8.65,5.49
"564",2.02,"Premium","F","SI2",61.7,58,18487,8.15,8.11,5.02
"565",2,"Premium","F","SI1",62.6,59,18493,8.1,8.04,5.05
"566",3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
"567",2.38,"Premium","J","VS2",62.1,58,18559,8.54,8.49,5.29
"568",2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2
"569",2.07,"Premium","F","SI2",60.7,59,18611,8.21,8.16,4.97
"570",2.42,"Premium","J","VS2",61.3,59,18615,8.61,8.58,5.27
"571",2.29,"Premium","I","VS2",60.8,60,18653,8.47,8.5,5.16
"572",2.02,"Premium","F","SI2",62.1,56,18678,8.07,7.99,4.99
"573",2.03,"Premium","G","VS2",59.6,60,18680,8.27,8.21,4.91
"574",2.43,"Premium","J","VS2",62.2,57,18692,8.63,8.54,5.34
"575",3.51,"Premium","J","VS2",62.5,59,18701,9.66,9.63,6.03
"576",2.01,"Premium","G","SI2",61.2,57.2,18705,8.08,8.14,4.97
"577",2.22,"Premium","J","VS1",60,60,18706,8.49,8.43,5.08
"578",3.01,"Premium","J","SI2",60.7,59,18710,9.35,9.22,5.64
"579",3.01,"Premium","J","SI2",59.7,58,18710,9.41,9.32,5.59
"580",2.18,"Premium","F","SI1",61.2,60,18717,8.38,8.3,5.1
"581",2.01,"Premium","G","SI1",60.3,59,18741,8.23,8.15,4.94
"582",2.55,"Premium","I","VS1",61.8,62,18766,8.7,8.65,5.36
"583",2.05,"Premium","F","SI2",60.2,59,18784,8.28,8.33,5
"584",2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
"585",2.29,"Premium","I","SI1",61.8,59,18797,8.52,8.45,5.24
"586",2.29,"Premium","I","VS2",60.8,60,18823,8.5,8.47,5.16
